event_id,event_type,gid,date,n_counterparties,sum_kzt,counterparties,description
T00033,fast_transit,100000004707703100,2026-07-03,0,88000.00000000,,"FIFO-сопоставление сумм, не доказательство движения одних и тех же денег."
T00034,sync_out,100000005933757100,2026-07-03,5,223253.00000000,100000001052945100;100000002862113100;100000002891765100;100000004569484100;100000008259451100,Синхронные переводы в один день; порядок внутри дня неизвестен.
T00035,sync_out,100000006866783100,2026-07-03,7,190957.00000000,100000000011452100;100000000661912100;100000001126374100;100000004325327100;100000004622227100;100000005620225100;100000008066326100,Синхронные переводы в один день; порядок внутри дня неизвестен.
T00036,fast_transit,100000007629096100,2026-07-03,0,48785.00000000,,"FIFO-сопоставление сумм, не доказательство движения одних и тех же денег."
T00037,fast_transit,100000007864477100,2026-07-03,0,35500.00000000,,"FIFO-сопоставление сумм, не доказательство движения одних и тех же денег."
T00038,fast_transit,100000008213966100,2026-07-03,0,23000.00000000,,"FIFO-сопоставление сумм, не доказательство движения одних и тех же денег."
T00039,fast_transit,100000008324800100,2026-07-03,0,80000.00000000,,"FIFO-сопоставление сумм, не доказательство движения одних и тех же денег."
T00040,sync_out,100000008477350100,2026-07-03,5,193685.00000000,100000003635660100;100000003968044100;100000004071080100;100000007864477100;100000008459449100,Синхронные переводы в один день; порядок внутри дня неизвестен.
T00041,fast_transit,100000000201868100,2026-07-04,0,190000.00000000,,"FIFO-сопоставление сумм, не доказательство движения одних и тех же денег."
T00042,fast_transit,100000000661912100,2026-07-04,0,31311.00000000,,"FIFO-сопоставление сумм, не доказательство движения одних и тех же денег."
T00043,fast_transit,100000001697501100,2026-07-04,0,25000.00000000,,"FIFO-сопоставление сумм, не доказательство движения одних и тех же денег."
T00044,fast_transit,100000002957787100,2026-07-04,0,37770.00000000,,"FIFO-сопоставление сумм, не доказательство движения одних и тех же денег."
T00045,sync_out,100000003016635100,2026-07-04,5,286278.00000000,100000002778085100;100000002793851100;100000002952631100;100000004790991100;100000004948177100,Синхронные переводы в один день; порядок внутри дня неизвестен.
T00046,fast_transit,100000003242289100,2026-07-04,0,46970.00000000,,"FIFO-сопоставление сумм, не доказательство движения одних и тех же денег."
T00047,sync_in,100000004486525100,2026-07-04,3,87700.00000000,100000004070318100;100000005910114100;100000007864477100,Синхронные переводы в один день; порядок внутри дня неизвестен.
T00048,fast_transit,100000004707703100,2026-07-04,0,32000.00000000,,"FIFO-сопоставление сумм, не доказательство движения одних и тех же денег."
T00049,fast_transit,100000005171642100,2026-07-04,0,6000.00000000,,"FIFO-сопоставление сумм, не доказательство движения одних и тех же денег."
T00050,fast_transit,100000007864477100,2026-07-04,0,34500.00000000,,"FIFO-сопоставление сумм, не доказательство движения одних и тех же денег."
T00051,fast_transit,100000008304139100,2026-07-04,0,11091.75000000,,"FIFO-сопоставление сумм, не доказательство движения одних и тех же денег."
T00052,fast_transit,100000008324800100,2026-07-04,0,95000.00000000,,"FIFO-сопоставление сумм, не доказательство движения одних и тех же денег."
T00053,fast_transit,100000008603629100,2026-07-04,0,60000.00000000,,"FIFO-сопоставление сумм, не доказательство движения одних и тех же денег."
T00054,sync_out,100000000331309100,2026-07-05,7,835482.00000000,100000002807334100;100000003105929100;100000003293377100;100000004906181100;100000006274203100;100000006734214100;100000008324800100,Синхронные переводы в один день; порядок внутри дня неизвестен.
T00055,sync_out,100000003016635100,2026-07-05,6,142338.00000000,100000000440392100;100000000667713100;100000002592567100;100000004206046100;100000004948177100;100000007511163100,Синхронные переводы в один день; порядок внутри дня неизвестен.
T00056,fast_transit,100000004351795100,2026-07-05,0,5915.00000000,,"FIFO-сопоставление сумм, не доказательство движения одних и тех же денег."
T00057,fast_transit,100000004400305100,2026-07-05,0,30000.00000000,,"FIFO-сопоставление сумм, не доказательство движения одних и тех же денег."
T00058,fast_transit,100000004906181100,2026-07-05,0,100000.00000000,,"FIFO-сопоставление сумм, не доказательство движения одних и тех же денег."
T00059,fast_transit,100000005782781100,2026-07-05,0,62688.00000000,,"FIFO-сопоставление сумм, не доказательство движения одних и тех же денег."
T00060,sync_out,100000006866783100,2026-07-05,10,387059.00000000,100000000011452100;100000001524952100;100000002182176100;100000002809568100;100000004071080100;100000004403675100;100000004737477100;100000008137435100;100000008304139100;100000008560717100,Синхронные переводы в один день; порядок внутри дня неизвестен.
T00061,fast_transit,100000008137435100,2026-07-05,0,93906.00000000,,"FIFO-сопоставление сумм, не доказательство движения одних и тех же денег."
T00062,fast_transit,100000002217161100,2026-07-06,0,39000.00000000,,"FIFO-сопоставление сумм, не доказательство движения одних и тех же денег."
T00063,sync_out,100000002527114100,2026-07-06,5,168549.00000000,100000002858835100;100000003567087100;100000007938486100;100000008679986100;100000008680451100,Синхронные переводы в один день; порядок внутри дня неизвестен.
T00064,sync_out,100000003016635100,2026-07-06,6,251914.00000000,100000001049200100;100000001805543100;100000004790991100;100000006518161100;100000007281639100;100000007641183100,Синхронные переводы в один день; порядок внутри дня неизвестен.
T00065,sync_out,100000004400305100,2026-07-06,6,436630.00000000,100000000749118100;100000003254277100;100000003943247100;100000004071080100;100000006492770100;100000008665380100,Синхронные переводы в один день; порядок внутри дня неизвестен.
T00066,fast_transit,100000004662806100,2026-07-06,0,9005.00000000,,"FIFO-сопоставление сумм, не доказательство движения одних и тех же денег."
T00067,burst,100000004877085100,2026-07-06,4,92600.00000000,,Всплеск относительно среднего по активным дням.
T00068,burst,100000005578559100,2026-07-06,8,287395.00000000,,Всплеск относительно среднего по активным дням.
T00069,fast_transit,100000005578559100,2026-07-06,0,51000.00000000,,"FIFO-сопоставление сумм, не доказательство движения одних и тех же денег."
T00070,sync_out,100000005578559100,2026-07-06,7,236395.00000000,100000001280798100;100000001298099100;100000001484381100;100000001818442100;100000002983426100;100000003095610100;100000003241965100,Синхронные переводы в один день; порядок внутри дня неизвестен.
T00071,fast_transit,100000005933757100,2026-07-06,0,69000.00000000,,"FIFO-сопоставление сумм, не доказательство движения одних и тех же денег."
T00072,sync_in,100000002398779100,2026-07-07,3,104218.00000000,100000002645993100;100000004070318100;100000004847758100,Синхронные переводы в один день; порядок внутри дня неизвестен.
T00073,sync_out,100000002578405100,2026-07-07,6,110300.00000000,100000001632325100;100000002511581100;100000003192309100;100000007022818100;100000008684767100;100000008684951100,Синхронные переводы в один день; порядок внутри дня неизвестен.
T00074,sync_out,100000003016635100,2026-07-07,8,321088.00000000,100000000440392100;100000000667713100;100000003163256100;100000004588479100;100000004707703100;100000004948177100;100000006069103100;100000006518161100,Синхронные переводы в один день; порядок внутри дня неизвестен.
T00075,fast_transit,100000003054328100,2026-07-07,0,140000.00000000,,"FIFO-сопоставление сумм, не доказательство движения одних и тех же денег."
T00076,fast_transit,100000003154105100,2026-07-07,0,15000.00000000,,"FIFO-сопоставление сумм, не доказательство движения одних и тех же денег."
T00077,sync_out,100000004400305100,2026-07-07,7,291920.00000000,100000001609499100;100000002645993100;100000003581109100;100000003951827100;100000004071080100;100000005186131100;100000006734214100,Синхронные переводы в один день; порядок внутри дня неизвестен.
T00078,fast_transit,100000004707703100,2026-07-07,0,20000.00000000,,"FIFO-сопоставление сумм, не доказательство движения одних и тех же денег."
T00079,fast_transit,100000004847758100,2026-07-07,0,18775.00000000,,"FIFO-сопоставление сумм, не доказательство движения одних и тех же денег."
T00080,fast_transit,100000005578559100,2026-07-07,0,27000.00000000,,"FIFO-сопоставление сумм, не доказательство движения одних и тех же денег."
T00081,fast_transit,100000006240939100,2026-07-07,0,160000.00000000,,"FIFO-сопоставление сумм, не доказательство движения одних и тех же денег."
T00082,fast_transit,100000008304139100,2026-07-07,0,23567.00000000,,"FIFO-сопоставление сумм, не доказательство движения одних и тех же денег."
T00083,fast_transit,100000008324800100,2026-07-07,0,70000.00000000,,"FIFO-сопоставление сумм, не доказательство движения одних и тех же денег."
T00084,sync_out,100000008477350100,2026-07-07,6,531807.00000000,100000000942301100;100000003834495100;100000004097972100;100000004931931100;100000005367284100;100000005910114100,Синхронные переводы в один день; порядок внутри дня неизвестен.
T00085,fast_transit,100000008512552100,2026-07-07,0,20760.00000000,,"FIFO-сопоставление сумм, не доказательство движения одних и тех же денег."
T00086,fast_transit,100000008603629100,2026-07-07,0,66000.00000000,,"FIFO-сопоставление сумм, не доказательство движения одних и тех же денег."
T00087,fast_transit,100000000661912100,2026-07-08,0,70633.00000000,,"FIFO-сопоставление сумм, не доказательство движения одних и тех же денег."
T00088,sync_out,100000001697501100,2026-07-08,6,135211.00000000,100000002733905100;100000004825069100;100000008283183100;100000008687492100;100000008688476100;100000008688881100,Синхронные переводы в один день; порядок внутри дня неизвестен.
T00089,burst,100000002224132100,2026-07-08,5,4951825.00000000,,Всплеск относительно среднего по активным дням.
T00090,fast_transit,100000002578405100,2026-07-08,0,181250.00000000,,"FIFO-сопоставление сумм, не доказательство движения одних и тех же денег."
T00091,sync_out,100000002578405100,2026-07-08,9,181250.00000000,100000000661131100;100000005089460100;100000008684452100;100000008686494100;100000008687617100;100000008687733100;100000008687990100;100000008688109100;100000008688155100,Синхронные переводы в один день; порядок внутри дня неизвестен.
T00092,fast_transit,100000002733905100,2026-07-08,0,40000.00000000,,"FIFO-сопоставление сумм, не доказательство движения одних и тех же денег."
T00093,sync_out,100000003016635100,2026-07-08,7,174737.00000000,100000002600345100;100000002938501100;100000004330371100;100000004790991100;100000005505655100;100000008003034100;100000008188026100,Синхронные переводы в один день; порядок внутри дня неизвестен.
T00094,fast_transit,100000003154105100,2026-07-08,0,40000.00000000,,"FIFO-сопоставление сумм, не доказательство движения одних и тех же денег."
T00095,sync_in,100000004299488100,2026-07-08,3,629000.00000000,100000002957787100;100000007055802100;100000008477350100,Синхронные переводы в один день; порядок внутри дня неизвестен.
T00096,sync_in,100000004962193100,2026-07-08,5,478378.00000000,100000002723538100;100000005910114100;100000007864477100;100000008304139100;100000008587459100,Синхронные переводы в один день; порядок внутри дня неизвестен.
T00097,fast_transit,100000005578559100,2026-07-08,0,53000.00000000,,"FIFO-сопоставление сумм, не доказательство движения одних и тех же денег."
T00098,fast_transit,100000005910114100,2026-07-08,0,80983.00000000,,"FIFO-сопоставление сумм, не доказательство движения одних и тех же денег."
T00099,fast_transit,100000005933757100,2026-07-08,0,323555.00000000,,"FIFO-сопоставление сумм, не доказательство движения одних и тех же денег."
T00100,sync_out,100000005933757100,2026-07-08,6,323555.00000000,100000001549194100;100000002633108100;100000002748532100;100000002951898100;100000003111305100;100000004500444100,Синхронные переводы в один день; порядок внутри дня неизвестен.
T00101,fast_transit,100000006518161100,2026-07-08,0,9999.00000000,,"FIFO-сопоставление сумм, не доказательство движения одних и тех же денег."
T00102,sync_in,100000006866783100,2026-07-08,3,56685.00000000,100000001660397100;100000005910114100;100000008304139100,Синхронные переводы в один день; порядок внутри дня неизвестен.
T00103,burst,100000008413748100,2026-07-08,14,458384.92000000,,Всплеск относительно среднего по активным дням.
T00104,sync_out,100000008413748100,2026-07-08,14,458384.92000000,100000001689968100;100000002570206100;100000002975287100;100000003072676100;100000003986141100;100000004071080100;100000005233755100;100000005830339100;100000006734214100;100000006967370100;100000007618425100;100000008011573100;100000008560717100;100000008612257100,Синхронные переводы в один день; порядок внутри дня неизвестен.
T00105,fast_transit,100000008477350100,2026-07-08,0,30000.00000000,,"FIFO-сопоставление сумм, не доказательство движения одних и тех же денег."
T00106,sync_out,100000008477350100,2026-07-08,5,592289.00000000,100000000661912100;100000000942301100;100000002603769100;100000004299488100;100000008560717100,Синхронные переводы в один день; порядок внутри дня неизвестен.
T00107,fast_transit,100000000331309100,2026-07-09,0,59435.00000000,,"FIFO-сопоставление сумм, не доказательство движения одних и тех же денег."
T00108,fast_transit,100000002267998100,2026-07-09,0,200000.00000000,,"FIFO-сопоставление сумм, не доказательство движения одних и тех же денег."
T00109,sync_in,100000002398779100,2026-07-09,7,537607.00000000,100000000089154100;100000001609499100;100000004070318100;100000004077081100;100000004351795100;100000005634552100;100000008223661100,Синхронные переводы в один день; порядок внутри дня неизвестен.
T00110,sync_out,100000002527114100,2026-07-09,7,176474.00000000,100000003942602100;100000008687671100;100000008690932100;100000008691027100;100000008691330100;100000008691495100;100000008693069100,Синхронные переводы в один день; порядок внутри дня неизвестен.
T00111,fast_transit,100000002578405100,2026-07-09,0,105125.00000000,,"FIFO-сопоставление сумм, не доказательство движения одних и тех же денег."
T00112,sync_out,100000002578405100,2026-07-09,6,105125.00000000,100000000572276100;100000002614095100;100000005198498100;100000008309514100;100000008548853100;100000008690762100,Синхронные переводы в один день; порядок внутри дня неизвестен.
T00113,fast_transit,100000002738256100,2026-07-09,0,150200.00000000,,"FIFO-сопоставление сумм, не доказательство движения одних и тех же денег."
T00114,sync_out,100000003016635100,2026-07-09,10,397797.00000000,100000003713616100;100000004186824100;100000004188160100;100000004408683100;100000004559194100;100000004741837100;100000004948177100;100000005539201100;100000006579678100;100000008116374100,Синхронные переводы в один день; порядок внутри дня неизвестен.
T00115,fast_transit,100000003242289100,2026-07-09,0,65760.00000000,,"FIFO-сопоставление сумм, не доказательство движения одних и тех же денег."
T00116,fast_transit,100000003718221100,2026-07-09,0,185000.00000000,,"FIFO-сопоставление сумм, не доказательство движения одних и тех же денег."
T00117,fast_transit,100000004070318100,2026-07-09,0,64725.00000000,,"FIFO-сопоставление сумм, не доказательство движения одних и тех же денег."
T00118,fast_transit,100000004135268100,2026-07-09,0,150000.00000000,,"FIFO-сопоставление сумм, не доказательство движения одних и тех же денег."
T00119,fast_transit,100000004221668100,2026-07-09,0,17000.00000000,,"FIFO-сопоставление сумм, не доказательство движения одних и тех же денег."
T00120,fast_transit,100000005782781100,2026-07-09,0,31500.00000000,,"FIFO-сопоставление сумм, не доказательство движения одних и тех же денег."
T00121,fast_transit,100000005933757100,2026-07-09,0,123445.00000000,,"FIFO-сопоставление сумм, не доказательство движения одних и тех же денег."
T00122,sync_out,100000006866783100,2026-07-09,13,651102.00000000,100000000011452100;100000000961900100;100000001126374100;100000002606567100;100000003066385100;100000004070318100;100000004071080100;100000004076740100;100000004299488100;100000004664515100;100000005844459100;100000008665380100;100000008686313100,Синхронные переводы в один день; порядок внутри дня неизвестен.
T00123,fast_transit,100000008647905100,2026-07-09,0,50000.00000000,,"FIFO-сопоставление сумм, не доказательство движения одних и тех же денег."
T00124,sync_out,100000000331309100,2026-07-10,6,807480.00000000,100000001330685100;100000001611488100;100000003044431100;100000003814002100;100000005893892100;100000007597382100,Синхронные переводы в один день; порядок внутри дня неизвестен.
T00125,sync_out,100000000437046100,2026-07-10,6,313653.00000000,100000004070318100;100000004759121100;100000005610717100;100000007639767100;100000008343874100;100000008603629100,Синхронные переводы в один день; порядок внутри дня неизвестен.
T00126,fast_transit,100000001530983100,2026-07-10,0,200000.00000000,,"FIFO-сопоставление сумм, не доказательство движения одних и тех же денег."
T00127,fast_transit,100000001857829100,2026-07-10,0,128535.00000000,,"FIFO-сопоставление сумм, не доказательство движения одних и тех же денег."
T00128,sync_in,100000001857829100,2026-07-10,3,128535.00000000,100000003178549100;100000005910114100;100000008632060100,Синхронные переводы в один день; порядок внутри дня неизвестен.
T00129,sync_out,100000001857829100,2026-07-10,5,362153.00000000,100000000640800100;100000002481974100;100000002550141100;100000003899325100;100000008121806100,Синхронные переводы в один день; порядок внутри дня неизвестен.
T00130,fast_transit,100000002217161100,2026-07-10,0,15000.00000000,,"FIFO-сопоставление сумм, не доказательство движения одних и тех же денег."
T00131,sync_in,100000002398779100,2026-07-10,3,172910.00000000,100000004077081100;100000004351795100;100000005910114100,Синхронные переводы в один день; порядок внутри дня неизвестен.
T00132,fast_transit,100000002578405100,2026-07-10,0,33697.00000000,,"FIFO-сопоставление сумм, не доказательство движения одних и тех же денег."
T00133,sync_out,100000002578405100,2026-07-10,7,214680.00000000,100000002646745100;100000004257714100;100000008055972100;100000008695133100;100000008695566100;100000008695689100;100000008697670100,Синхронные переводы в один день; порядок внутри дня неизвестен.
T00134,fast_transit,100000002733905100,2026-07-10,0,20000.00000000,,"FIFO-сопоставление сумм, не доказательство движения одних и тех же денег."
T00135,sync_out,100000003016635100,2026-07-10,9,1071188.00000000,100000000440392100;100000000706545100;100000001530983100;100000001567366100;100000002890167100;100000003042994100;100000003701161100;100000004559194100;100000004948177100,Синхронные переводы в один день; порядок внутри дня неизвестен.
T00136,fast_transit,100000004070318100,2026-07-10,0,73000.00000000,,"FIFO-сопоставление сумм, не доказательство движения одних и тех же денег."
T00137,fast_transit,100000004135268100,2026-07-10,0,200000.00000000,,"FIFO-сопоставление сумм, не доказательство движения одних и тех же денег."
T00138,fast_transit,100000004221668100,2026-07-10,0,3000.00000000,,"FIFO-сопоставление сумм, не доказательство движения одних и тех же денег."
T00139,sync_out,100000004400305100,2026-07-10,5,269177.00000000,100000003235780100;100000004070318100;100000006788200100;100000007484343100;100000008587459100,Синхронные переводы в один день; порядок внутри дня неизвестен.
T00140,fast_transit,100000005782781100,2026-07-10,0,51500.00000000,,"FIFO-сопоставление сумм, не доказательство движения одних и тех же денег."
T00141,sync_in,100000005782781100,2026-07-10,3,51500.00000000,100000000089154100;100000003213473100;100000008304139100,Синхронные переводы в один день; порядок внутри дня неизвестен.
T00142,fast_transit,100000005910114100,2026-07-10,0,92009.00000000,,"FIFO-сопоставление сумм, не доказательство движения одних и тех же денег."
T00143,sync_out,100000005910114100,2026-07-10,5,190133.00000000,100000001857829100;100000002398779100;100000003747133100;100000008525136100;100000008603629100,Синхронные переводы в один день; порядок внутри дня неизвестен.
T00144,fast_transit,100000008121806100,2026-07-10,0,35000.00000000,,"FIFO-сопоставление сумм, не доказательство движения одних и тех же денег."
T00145,fast_transit,100000008165763100,2026-07-10,0,28200.00000000,,"FIFO-сопоставление сумм, не доказательство движения одних и тех же денег."
T00146,fast_transit,100000008346837100,2026-07-10,0,40000.00000000,,"FIFO-сопоставление сумм, не доказательство движения одних и тех же денег."
T00147,fast_transit,100000008389800100,2026-07-10,0,118400.00000000,,"FIFO-сопоставление сумм, не доказательство движения одних и тех же денег."
T00148,fast_transit,100000008477350100,2026-07-10,0,28400.00000000,,"FIFO-сопоставление сумм, не доказательство движения одних и тех же денег."
T00149,fast_transit,100000008603629100,2026-07-10,0,64028.00000000,,"FIFO-сопоставление сумм, не доказательство движения одних и тех же денег."
T00150,sync_in,100000008603629100,2026-07-10,4,64028.00000000,100000000437046100;100000002723538100;100000004070318100;100000005910114100,Синхронные переводы в один день; порядок внутри дня неизвестен.
T00151,sync_out,100000000331309100,2026-07-11,5,806160.00000000,100000003486970100;100000004299488100;100000005409156100;100000006734214100;100000008560717100,Синхронные переводы в один день; порядок внутри дня неизвестен.
T00152,fast_transit,100000002481974100,2026-07-11,0,59000.00000000,,"FIFO-сопоставление сумм, не доказательство движения одних и тех же денег."
T00153,fast_transit,100000003265158100,2026-07-11,0,80700.00000000,,"FIFO-сопоставление сумм, не доказательство движения одних и тех же денег."
T00154,fast_transit,100000004070318100,2026-07-11,0,40000.00000000,,"FIFO-сопоставление сумм, не доказательство движения одних и тех же денег."
T00155,fast_transit,100000004135268100,2026-07-11,0,500000.00000000,,"FIFO-сопоставление сумм, не доказательство движения одних и тех же денег."
T00156,burst,100000004150593100,2026-07-11,8,574855.00000000,,Всплеск относительно среднего по активным дням.
T00157,fast_transit,100000004150593100,2026-07-11,0,57000.00000000,,"FIFO-сопоставление сумм, не доказательство движения одних и тех же денег."
T00158,sync_out,100000004150593100,2026-07-11,7,517855.00000000,100000001530983100;100000002956898100;100000003896956100;100000003899899100;100000004394765100;100000005022552100;100000008595687100,Синхронные переводы в один день; порядок внутри дня неизвестен.
T00159,sync_in,100000004299488100,2026-07-11,3,510000.00000000,100000000331309100;100000000437046100;100000006866783100,Синхронные переводы в один день; порядок внутри дня неизвестен.
T00160,fast_transit,100000005287097100,2026-07-11,0,54223.00000000,,"FIFO-сопоставление сумм, не доказательство движения одних и тех же денег."
T00161,sync_in,100000006866783100,2026-07-11,4,143980.00000000,100000001609499100;100000004070318100;100000005910114100;100000008686313100,Синхронные переводы в один день; порядок внутри дня неизвестен.
T00162,fast_transit,100000007594394100,2026-07-11,0,40000.00000000,,"FIFO-сопоставление сумм, не доказательство движения одних и тех же денег."
T00163,fast_transit,100000008121806100,2026-07-11,0,32000.00000000,,"FIFO-сопоставление сумм, не доказательство движения одних и тех же денег."
T00164,fast_transit,100000008343874100,2026-07-11,0,100000.00000000,,"FIFO-сопоставление сумм, не доказательство движения одних и тех же денег."
T00165,fast_transit,100000008477350100,2026-07-11,0,18900.00000000,,"FIFO-сопоставление сумм, не доказательство движения одних и тех же денег."
T00166,fast_transit,100000000331309100,2026-07-12,0,107200.00000000,,"FIFO-сопоставление сумм, не доказательство движения одних и тех же денег."
T00167,fast_transit,100000000661912100,2026-07-12,0,70000.00000000,,"FIFO-сопоставление сумм, не доказательство движения одних и тех же денег."
T00168,fast_transit,100000001530983100,2026-07-12,0,13000.00000000,,"FIFO-сопоставление сумм, не доказательство движения одних и тех же денег."
T00169,sync_in,100000002731501100,2026-07-12,3,28800.00000000,100000004005964100;100000004007116100;100000004160650100,Синхронные переводы в один день; порядок внутри дня неизвестен.
T00170,sync_in,100000003016635100,2026-07-12,3,35381.00000000,100000004330371100;100000005287097100;100000008595687100,Синхронные переводы в один день; порядок внутри дня неизвестен.
T00171,fast_transit,100000003589877100,2026-07-12,0,150000.00000000,,"FIFO-сопоставление сумм, не доказательство движения одних и тех же денег."
T00172,fast_transit,100000003635170100,2026-07-12,0,20000.00000000,,"FIFO-сопоставление сумм, не доказательство движения одних и тех же денег."
T00173,sync_out,100000003796063100,2026-07-12,5,287700.00000000,100000000331309100;100000004400305100;100000006866783100;100000008165763100;100000008346837100,Синхронные переводы в один день; порядок внутри дня неизвестен.
T00174,sync_in,100000004299488100,2026-07-12,3,132000.00000000,100000000331309100;100000006866783100;100000007055802100,Синхронные переводы в один день; порядок внутри дня неизвестен.
T00175,fast_transit,100000004400305100,2026-07-12,0,9000.00000000,,"FIFO-сопоставление сумм, не доказательство движения одних и тех же денег."
T00176,sync_out,100000004400305100,2026-07-12,5,481870.00000000,100000000254336100;100000000661912100;100000002435265100;100000004679953100;100000005910114100,Синхронные переводы в один день; порядок внутри дня неизвестен.
