cycle_id,length,cycle_type,path,min_edge_kzt,total_kzt,has_seed,time_consistent
C00090,2,reciprocal,100000003016635100→100000006579678100→100000003016635100,42930.00000000,124530.00000000,True,True
C00091,2,reciprocal,100000003016635100→100000008169544100→100000003016635100,17300.00000000,154404.00000000,True,True
C00092,2,reciprocal,100000003115284100→100000003360542100→100000003115284100,30500.00000000,337500.00000000,False,True
C00093,2,reciprocal,100000003148220100→100000004971871100→100000003148220100,5650.00000000,31050.00000000,True,True
C00094,2,reciprocal,100000003213473100→100000004400305100→100000003213473100,9000.00000000,66500.00000000,False,True
C00095,2,reciprocal,100000003237045100→100000006579678100→100000003237045100,150000.00000000,490200.00000000,False,True
C00096,2,reciprocal,100000003242289100→100000008512552100→100000003242289100,49000.00000000,517791.00000000,False,True
C00097,2,reciprocal,100000003299365100→100000003684369100→100000003299365100,200000.00000000,400000.00000000,True,True
C00098,2,reciprocal,100000003509750100→100000004697956100→100000003509750100,10000.00000000,20000.00000000,False,True
C00099,2,reciprocal,100000003616818100→100000004005964100→100000003616818100,35000.00000000,75000.00000000,False,True
C00100,2,reciprocal,100000003616818100→100000004160650100→100000003616818100,28000.00000000,63100.00000000,False,True
C00101,2,reciprocal,100000003635170100→100000004209339100→100000003635170100,138500.00000000,371000.00000000,False,True
C00102,2,reciprocal,100000003635170100→100000005602999100→100000003635170100,5000.00000000,16000.00000000,False,True
C00103,2,reciprocal,100000003701161100→100000003718221100→100000003701161100,120000.00000000,240000.00000000,False,True
C00104,2,reciprocal,100000003741418100→100000006111439100→100000003741418100,5000.00000000,10720.00000000,False,True
C00105,2,reciprocal,100000003796063100→100000008111003100→100000003796063100,35000.00000000,70000.00000000,False,True
C00106,2,reciprocal,100000003809101100→100000008254069100→100000003809101100,10200.00000000,30200.00000000,False,True
C00107,2,reciprocal,100000003886323100→100000007749092100→100000003886323100,7650.00000000,78025.00000000,False,True
C00108,2,reciprocal,100000003917461100→100000004386258100→100000003917461100,10000.00000000,20000.00000000,False,True
C00109,2,reciprocal,100000003923946100→100000003977183100→100000003923946100,82000.00000000,364000.00000000,True,True
C00110,2,reciprocal,100000003946524100→100000007898453100→100000003946524100,20000.00000000,44750.00000000,False,True
C00111,2,reciprocal,100000003988112100→100000004403675100→100000003988112100,64000.00000000,156000.00000000,False,True
C00112,2,reciprocal,100000004005964100→100000004007116100→100000004005964100,10000.00000000,37000.00000000,True,True
C00113,2,reciprocal,100000004017410100→100000004336312100→100000004017410100,52650.00000000,111565.00000000,False,True
C00114,2,reciprocal,100000004017410100→100000005519998100→100000004017410100,141000.00000000,283000.00000000,False,True
C00115,2,reciprocal,100000004041163100→100000005382566100→100000004041163100,50000.00000000,216000.00000000,True,True
C00116,2,reciprocal,100000004070318100→100000004400305100→100000004070318100,19800.00000000,42800.00000000,False,True
C00117,2,reciprocal,100000004070318100→100000006866783100→100000004070318100,64725.00000000,149725.00000000,True,True
C00118,2,reciprocal,100000004071070100→100000004071080100→100000004071070100,6000.00000000,42000.00000000,False,True
C00119,2,reciprocal,100000004076740100→100000004467157100→100000004076740100,7000.00000000,27000.00000000,False,True
C00120,2,reciprocal,100000004076740100→100000005519998100→100000004076740100,20000.00000000,60000.00000000,False,True
C00121,2,reciprocal,100000004135268100→100000008571433100→100000004135268100,150000.00000000,1214000.00000000,True,True
C00122,2,reciprocal,100000004156082100→100000005287097100→100000004156082100,16450.00000000,66950.00000000,False,True
C00123,2,reciprocal,100000004180097100→100000004765639100→100000004180097100,5000.00000000,11000.00000000,False,True
C00124,2,reciprocal,100000004221668100→100000005171642100→100000004221668100,683600.00000000,1374200.00000000,False,True
C00125,2,reciprocal,100000004299488100→100000007055802100→100000004299488100,204999.00000000,809999.00000000,False,True
C00126,2,reciprocal,100000004330371100→100000006534886100→100000004330371100,71700.00000000,239200.00000000,False,True
C00127,2,reciprocal,100000004351795100→100000008603629100→100000004351795100,22418.00000000,99418.00000000,False,True
C00128,2,reciprocal,100000004386258100→100000004386331100→100000004386258100,5000.00000000,25000.00000000,False,True
C00129,2,reciprocal,100000004390333100→100000006866783100→100000004390333100,45751.00000000,105751.00000000,True,True
C00130,2,reciprocal,100000004407753100→100000007382543100→100000004407753100,100000.00000000,350000.00000000,False,True
C00131,2,reciprocal,100000004475818100→100000005665181100→100000004475818100,13000.00000000,31498.00000000,False,True
C00132,2,reciprocal,100000004479404100→100000004717647100→100000004479404100,300000.00000000,1780000.00000000,False,True
C00133,2,reciprocal,100000004508696100→100000005911352100→100000004508696100,7000.00000000,14000.00000000,False,True
C00134,2,reciprocal,100000004544958100→100000004677680100→100000004544958100,18000.00000000,186000.00000000,False,True
C00135,2,reciprocal,100000004552204100→100000007322059100→100000004552204100,5000.00000000,27500.00000000,False,True
C00136,2,reciprocal,100000004569484100→100000005704413100→100000004569484100,41000.00000000,106705.00000000,False,True
C00137,2,reciprocal,100000004569484100→100000005933757100→100000004569484100,32607.00000000,71607.00000000,False,True
C00138,2,reciprocal,100000004715209100→100000008603331100→100000004715209100,5000.00000000,16500.00000000,False,True
C00139,2,reciprocal,100000004759121100→100000006844768100→100000004759121100,175000.00000000,457000.00000000,False,True
C00140,2,reciprocal,100000004820260100→100000005339662100→100000004820260100,135850.00000000,370050.00000000,False,True
C00141,2,reciprocal,100000004847758100→100000008603629100→100000004847758100,25612.00000000,67612.00000000,False,True
C00142,2,reciprocal,100000005037490100→100000008733194100→100000005037490100,14000.00000000,29000.00000000,False,True
C00143,2,reciprocal,100000005048668100→100000008346837100→100000005048668100,6500.00000000,13500.00000000,False,True
C00144,2,reciprocal,100000005074393100→100000005882013100→100000005074393100,10000.00000000,130000.00000000,False,True
C00145,2,reciprocal,100000005175148100→100000005339662100→100000005175148100,5000.00000000,20000.00000000,False,True
C00146,2,reciprocal,100000005264874100→100000005507142100→100000005264874100,13000.00000000,43000.00000000,False,True
C00147,2,reciprocal,100000005367445100→100000005413948100→100000005367445100,5000.00000000,10000.00000000,False,True
C00148,2,reciprocal,100000005456919100→100000008659445100→100000005456919100,5000.00000000,268950.00000000,True,True
C00149,2,reciprocal,100000005473151100→100000008545727100→100000005473151100,30000.00000000,1090000.00000000,False,True
C00150,2,reciprocal,100000005546031100→100000005547096100→100000005546031100,8000.00000000,24300.00000000,False,True
C00151,2,reciprocal,100000005660203100→100000006518161100→100000005660203100,23000.00000000,595899.00000000,False,True
C00152,2,reciprocal,100000005664922100→100000008686247100→100000005664922100,5000.00000000,27000.00000000,False,True
C00153,2,reciprocal,100000006169033100→100000008011159100→100000006169033100,49000.00000000,395000.00000000,False,True
C00154,2,reciprocal,100000006274203100→100000007594394100→100000006274203100,5000.00000000,3381312.00000000,False,True
C00155,2,reciprocal,100000006385877100→100000006443391100→100000006385877100,36602.93000000,90309.55000000,False,True
C00156,2,reciprocal,100000006443391100→100000006912294100→100000006443391100,6335.09000000,31335.09000000,False,True
C00157,2,reciprocal,100000006866783100→100000007639767100→100000006866783100,10000.00000000,33018.00000000,True,True
C00158,2,reciprocal,100000006866783100→100000008304139100→100000006866783100,23567.00000000,167567.00000000,True,True
C00159,2,reciprocal,100000006866783100→100000008686313100→100000006866783100,48100.00000000,273281.00000000,True,True
C00160,2,reciprocal,100000007390016100→100000008324800100→100000007390016100,346500.00000000,857500.00000000,False,True
C00161,2,reciprocal,100000007511163100→100000008389800100→100000007511163100,49000.00000000,98000.00000000,False,True
C00162,2,reciprocal,100000007593823100→100000008346837100→100000007593823100,5000.00000000,10800.00000000,False,True
C00163,2,reciprocal,100000007639767100→100000008603629100→100000007639767100,23722.00000000,121972.00000000,False,True
C00164,2,reciprocal,100000007689942100→100000008546855100→100000007689942100,5000.00000000,10000.00000000,False,True
C00165,2,reciprocal,100000008086440100→100000008477350100→100000008086440100,18900.00000000,218633.00000000,False,True
C00166,2,reciprocal,100000008193577100→100000008659445100→100000008193577100,56190.00000000,143190.00000000,True,True
C00167,2,reciprocal,100000008193577100→100000008736940100→100000008193577100,67300.00000000,193290.00000000,False,True
C00168,2,reciprocal,100000008314203100→100000008637537100→100000008314203100,60000.00000000,292000.00000000,True,True
C00169,2,reciprocal,100000008389800100→100000008430691100→100000008389800100,20000.00000000,40000.00000000,False,True
C00170,2,reciprocal,100000008443341100→100000008474308100→100000008443341100,10000.00000000,24000.00000000,False,True
C00171,2,reciprocal,100000008489922100→100000008547948100→100000008489922100,30000.00000000,117000.00000000,False,True
C00172,2,reciprocal,100000008546855100→100000008582730100→100000008546855100,5000.00000000,10000.00000000,False,True
C00173,2,reciprocal,100000008547844100→100000008547948100→100000008547844100,61000.00000000,161000.00000000,False,True
C00174,2,reciprocal,100000008603629100→100000008686313100→100000008603629100,55500.00000000,131193.00000000,False,True
C00175,2,reciprocal,100000008659445100→100000008736940100→100000008659445100,77300.00000000,329800.00000000,True,True
C00176,2,reciprocal,100000008736940100→100000008751429100→100000008736940100,37500.00000000,110100.00000000,False,True
C00177,2,reciprocal,100000008748914100→100000008762832100→100000008748914100,85000.00000000,235000.00000000,False,True
C00178,3,cycle,100000000437046100→100000008603629100→100000004351795100→100000000437046100,5000.00000000,569418.00000000,False,True
C00179,3,cycle,100000000437046100→100000008603629100→100000007639767100→100000000437046100,5000.00000000,78722.00000000,False,True
C00180,3,cycle,100000000437046100→100000008603629100→100000008686313100→100000000437046100,5000.00000000,109893.00000000,False,True
C00181,3,cycle,100000000552584100→100000004603109100→100000002224132100→100000000552584100,57500.00000000,2857500.00000000,False,True
C00182,3,cycle,100000000594783100→100000004603109100→100000002224132100→100000000594783100,92500.00000000,3027500.00000000,False,True
C00183,3,cycle,100000000667713100→100000008636603100→100000003016635100→100000000667713100,12750.00000000,162695.00000000,True,True
C00184,3,cycle,100000000673868100→100000007442518100→100000008258083100→100000000673868100,115000.00000000,5145650.00000000,False,True
C00185,3,cycle,100000000785800100→100000008601794100→100000001872484100→100000000785800100,19000.00000000,909400.00000000,True,True
C00186,3,cycle,100000001232297100→100000005882013100→100000005074393100→100000001232297100,5000.00000000,30000.00000000,False,True
C00187,3,cycle,100000001732159100→100000008314203100→100000008637537100→100000001732159100,232000.00000000,2837176.00000000,True,True
C00188,3,cycle,100000001732159100→100000008637537100→100000008314203100→100000001732159100,60000.00000000,536890.00000000,True,True
C00189,3,cycle,100000001857829100→100000003880331100→100000008603629100→100000001857829100,100000.00000000,1106000.00000000,False,True
C00190,3,cycle,100000001857829100→100000008603629100→100000003178549100→100000001857829100,26000.00000000,125000.00000000,False,False
C00191,3,cycle,100000002224132100→100000004603109100→100000004892144100→100000002224132100,100000.00000000,2860300.00000000,False,True
C00192,3,cycle,100000002267998100→100000003701161100→100000003718221100→100000002267998100,120000.00000000,1170000.00000000,False,True
C00193,3,cycle,100000002267998100→100000003718221100→100000003701161100→100000002267998100,120000.00000000,570000.00000000,False,True
C00194,3,cycle,100000002293421100→100000004180097100→100000004765639100→100000002293421100,5000.00000000,32000.00000000,False,True
C00195,3,cycle,100000002731501100→100000004007116100→100000004005964100→100000002731501100,10000.00000000,221960.00000000,True,False
C00196,3,cycle,100000002731501100→100000004160650100→100000004005964100→100000002731501100,10000.00000000,97900.00000000,False,True
C00197,3,cycle,100000002731501100→100000004160650100→100000004007116100→100000002731501100,10000.00000000,585744.00000000,True,True
C00198,3,cycle,100000003242289100→100000008417359100→100000008512552100→100000003242289100,20760.00000000,530361.00000000,False,True
C00199,3,cycle,100000003360542100→100000003390036100→100000005873152100→100000003360542100,10000.00000000,41300.00000000,False,False
C00200,3,cycle,100000003616818100→100000004005964100→100000004007116100→100000003616818100,15000.00000000,82000.00000000,True,True
C00201,3,cycle,100000003616818100→100000004160650100→100000004005964100→100000003616818100,35000.00000000,118000.00000000,False,True
C00202,3,cycle,100000003616818100→100000004160650100→100000004007116100→100000003616818100,15000.00000000,585844.00000000,True,True
C00203,3,cycle,100000003934614100→100000004336312100→100000004017410100→100000003934614100,10000.00000000,74150.00000000,False,True
C00204,3,cycle,100000003934614100→100000004336312100→100000005519998100→100000003934614100,7000.00000000,38500.00000000,False,True
C00205,3,cycle,100000004017410100→100000004336312100→100000005519998100→100000004017410100,20000.00000000,219915.00000000,False,True
C00206,3,cycle,100000004076740100→100000004336312100→100000005519998100→100000004076740100,20000.00000000,80000.00000000,False,True
C00207,3,cycle,100000004135268100→100000004979498100→100000008571433100→100000004135268100,200000.00000000,1964000.00000000,True,True
C00208,3,cycle,100000004221668100→100000004321983100→100000005171642100→100000004221668100,6200.00000000,700640.00000000,False,True
C00209,3,cycle,100000004569484100→100000005578559100→100000005704413100→100000004569484100,36834.67000000,153539.67000000,False,True
C00210,3,cycle,100000004820260100→100000005175148100→100000005339662100→100000004820260100,15000.00000000,323200.00000000,False,True
C00211,3,cycle,100000005456919100→100000008659445100→100000008193577100→100000005456919100,5000.00000000,308000.00000000,True,True
C00212,3,cycle,100000006866783100→100000008137435100→100000008686313100→100000006866783100,43906.00000000,143406.00000000,True,False
C00213,3,cycle,100000006866783100→100000008304139100→100000008587459100→100000006866783100,23567.00000000,168067.00000000,True,True
C00214,3,cycle,100000008193577100→100000008659445100→100000008736940100→100000008193577100,56190.00000000,375990.00000000,True,True
C00215,3,cycle,100000008193577100→100000008736940100→100000008659445100→100000008193577100,77300.00000000,290290.00000000,True,True
C00216,3,cycle,100000008193577100→100000008751429100→100000008736940100→100000008193577100,67300.00000000,216900.00000000,False,True
C00217,3,cycle,100000008465789100→100000008547948100→100000008547844100→100000008465789100,20000.00000000,150099.00000000,False,True
C00218,3,cycle,100000008659445100→100000008751429100→100000008736940100→100000008659445100,72600.00000000,421600.00000000,True,True
C00219,4,cycle,100000000089154100→100000000437046100→100000004070318100→100000006866783100→100000000089154100,10000.00000000,217000.00000000,True,True
C00220,4,cycle,100000000089154100→100000000437046100→100000007639767100→100000006866783100→100000000089154100,10000.00000000,79868.00000000,True,False
C00221,4,cycle,100000000089154100→100000000437046100→100000008686313100→100000006866783100→100000000089154100,10000.00000000,1195083.00000000,True,True
C00222,4,cycle,100000000089154100→100000008111003100→100000003796063100→100000006866783100→100000000089154100,10000.00000000,166200.00000000,True,True
C00223,4,cycle,100000000331309100→100000008686313100→100000000437046100→100000001279272100→100000000331309100,29200.00000000,782242.00000000,False,False
C00224,4,cycle,100000000331309100→100000008686313100→100000006866783100→100000004403675100→100000000331309100,47187.00000000,527764.00000000,True,False
C00225,4,cycle,100000000437046100→100000004070318100→100000002957787100→100000008632060100→100000000437046100,6000.00000000,171100.00000000,False,False
C00226,4,cycle,100000000437046100→100000004070318100→100000004400305100→100000004390333100→100000000437046100,18807.00000000,228607.00000000,False,False
C00227,4,cycle,100000000437046100→100000004070318100→100000004400305100→100000008304139100→100000000437046100,19800.00000000,185901.00000000,False,False
C00228,4,cycle,100000000437046100→100000004070318100→100000004400305100→100000008686313100→100000000437046100,19800.00000000,221417.00000000,False,False
C00229,4,cycle,100000000437046100→100000004070318100→100000006866783100→100000004351795100→100000000437046100,66404.00000000,783404.00000000,True,False
C00230,4,cycle,100000000437046100→100000004070318100→100000006866783100→100000004390333100→100000000437046100,45751.00000000,320751.00000000,True,False
C00231,4,cycle,100000000437046100→100000004070318100→100000006866783100→100000007639767100→100000000437046100,23018.00000000,248018.00000000,True,True
C00232,4,cycle,100000000437046100→100000004070318100→100000006866783100→100000008304139100→100000000437046100,23567.00000000,228567.00000000,True,False
C00233,4,cycle,100000000437046100→100000004070318100→100000006866783100→100000008686313100→100000000437046100,29200.00000000,429381.00000000,True,True
C00234,4,cycle,100000000437046100→100000004070318100→100000008346837100→100000004351795100→100000000437046100,29511.00000000,721570.00000000,False,False
C00235,4,cycle,100000000437046100→100000004070318100→100000008477350100→100000007639767100→100000000437046100,16305.00000000,181305.00000000,False,True
C00236,4,cycle,100000000437046100→100000004070318100→100000008477350100→100000008086440100→100000000437046100,25000.00000000,356233.00000000,False,False
C00237,4,cycle,100000000437046100→100000004070318100→100000008603629100→100000004351795100→100000000437046100,22418.00000000,677544.00000000,False,True
C00238,4,cycle,100000000437046100→100000004070318100→100000008603629100→100000007639767100→100000000437046100,23126.00000000,186848.00000000,False,True
C00239,4,cycle,100000000437046100→100000004070318100→100000008603629100→100000008686313100→100000000437046100,23126.00000000,218019.00000000,False,True
C00240,4,cycle,100000000437046100→100000007639767100→100000004400305100→100000004390333100→100000000437046100,10000.00000000,156675.00000000,False,False
C00241,4,cycle,100000000437046100→100000007639767100→100000004400305100→100000008304139100→100000000437046100,10000.00000000,113969.00000000,False,False
C00242,4,cycle,100000000437046100→100000007639767100→100000004400305100→100000008686313100→100000000437046100,10000.00000000,149485.00000000,False,False
C00243,4,cycle,100000000437046100→100000007639767100→100000006866783100→100000004351795100→100000000437046100,10000.00000000,646272.00000000,True,False
C00244,4,cycle,100000000437046100→100000007639767100→100000006866783100→100000004390333100→100000000437046100,10000.00000000,183619.00000000,True,False
C00245,4,cycle,100000000437046100→100000007639767100→100000006866783100→100000008304139100→100000000437046100,10000.00000000,91435.00000000,True,False
C00246,4,cycle,100000000437046100→100000007639767100→100000006866783100→100000008686313100→100000000437046100,10000.00000000,292249.00000000,True,False
C00247,4,cycle,100000000437046100→100000007639767100→100000008603629100→100000004351795100→100000000437046100,22418.00000000,690536.00000000,False,True
C00248,4,cycle,100000000437046100→100000007639767100→100000008603629100→100000008686313100→100000000437046100,27868.00000000,231011.00000000,False,True
C00249,4,cycle,100000000437046100→100000008686313100→100000006866783100→100000004351795100→100000000437046100,48100.00000000,1761487.00000000,True,False
C00250,4,cycle,100000000437046100→100000008686313100→100000006866783100→100000004390333100→100000000437046100,45751.00000000,1298834.00000000,True,False
C00251,4,cycle,100000000437046100→100000008686313100→100000006866783100→100000007639767100→100000000437046100,23018.00000000,1226101.00000000,True,False
C00252,4,cycle,100000000437046100→100000008686313100→100000006866783100→100000008304139100→100000000437046100,23567.00000000,1206650.00000000,True,False
C00253,4,cycle,100000000437046100→100000008686313100→100000008477350100→100000007639767100→100000000437046100,16305.00000000,1197088.00000000,False,False
C00254,4,cycle,100000000437046100→100000008686313100→100000008477350100→100000008086440100→100000000437046100,25800.00000000,1372016.00000000,False,False
C00255,4,cycle,100000000437046100→100000008686313100→100000008603629100→100000004351795100→100000000437046100,22418.00000000,1724901.00000000,False,True
C00256,4,cycle,100000000437046100→100000008686313100→100000008603629100→100000007639767100→100000000437046100,23722.00000000,1234205.00000000,False,False
C00257,4,cycle,100000000552584100→100000004603109100→100000004892144100→100000002224132100→100000000552584100,57500.00000000,2837800.00000000,False,False
C00258,4,cycle,100000000594783100→100000004603109100→100000004892144100→100000002224132100→100000000594783100,92500.00000000,3007800.00000000,False,True
