chain_id,a,b,c,repeats,sum_ab,sum_bc,median_lag_days,first_date,last_date
H00045,100000005910114100,100000006866783100,100000008686313100,3,241712.00000000,225181.00000000,1.00000000,2026-07-08,2026-07-15
H00046,100000000331309100,100000004299488100,100000007055802100,3,360000.00000000,204999.00000000,0.00000000,2026-07-11,2026-07-12
H00047,100000006866783100,100000007055802100,100000004299488100,3,200000.00000000,605000.00000000,1.00000000,2026-07-13,2026-07-19
H00048,100000000437046100,100000004299488100,100000007055802100,3,185000.00000000,204999.00000000,0.00000000,2026-07-11,2026-07-12
H00049,100000006866783100,100000008686313100,100000002826669100,3,225181.00000000,159900.00000000,2.00000000,2026-07-09,2026-07-15
H00050,100000003880331100,100000008603629100,100000005830339100,3,598000.00000000,144605.00000000,0.00000000,2026-07-23,2026-07-27
H00051,100000008304139100,100000006866783100,100000008686313100,3,144000.00000000,225181.00000000,1.00000000,2026-07-08,2026-07-15
H00052,100000003635170100,100000004209339100,100000003635170100,3,138500.00000000,232500.00000000,1.00000000,2026-07-16,2026-07-20
H00053,100000005910114100,100000006866783100,100000005584222100,3,241712.00000000,136217.00000000,1.00000000,2026-07-14,2026-07-16
H00054,100000002267998100,100000003701161100,100000003718221100,3,850000.00000000,120000.00000000,2.00000000,2026-07-06,2026-07-20
H00055,100000003701161100,100000003718221100,100000003701161100,3,120000.00000000,120000.00000000,1.00000000,2026-07-08,2026-07-21
H00056,100000002963189100,100000005933757100,100000004500444100,3,1150000.00000000,100000.00000000,0.00000000,2026-07-08,2026-07-18
H00057,100000004070318100,100000006866783100,100000004299488100,3,85000.00000000,337000.00000000,0.00000000,2026-07-09,2026-07-12
H00058,100000004070318100,100000006866783100,100000008686313100,3,85000.00000000,225181.00000000,0.00000000,2026-07-09,2026-07-12
H00059,100000005287097100,100000003016635100,100000004188160100,3,392500.00000000,79262.00000000,2.00000000,2026-07-07,2026-07-22
H00060,100000004269433100,100000008418835100,100000008730021100,3,1372000.00000000,75555.00000000,0.00000000,2026-07-18,2026-07-23
H00061,100000005339662100,100000004820260100,100000005175148100,3,234200.00000000,74000.00000000,0.00000000,2026-07-20,2026-07-22
H00062,100000003016635100,100000004330371100,100000006534886100,3,96671.00000000,71700.00000000,0.00000000,2026-07-08,2026-07-21
H00063,100000004330371100,100000006534886100,100000004330371100,3,71700.00000000,167500.00000000,0.00000000,2026-07-12,2026-07-21
H00064,100000006534886100,100000004330371100,100000006534886100,3,167500.00000000,71700.00000000,0.00000000,2026-07-21,2026-07-30
H00065,100000004015047100,100000001616816100,100000004015047100,3,69195.00000000,110500.00000000,1.00000000,2026-07-01,2026-07-04
H00066,100000005287097100,100000003016635100,100000008188026100,3,392500.00000000,63358.00000000,2.00000000,2026-07-06,2026-07-13
H00067,100000004070318100,100000002398779100,100000008576243100,3,61568.00000000,66000.00000000,1.00000000,2026-07-07,2026-07-10
H00068,100000004400305100,100000002645993100,100000002398779100,3,35650.00000000,54150.00000000,0.00000000,2026-07-07,2026-07-07
H00069,100000005660203100,100000006518161100,100000005660203100,3,23000.00000000,572899.00000000,0.00000000,2026-07-13,2026-07-27
H00070,100000006518161100,100000005660203100,100000006518161100,3,572899.00000000,23000.00000000,1.00000000,2026-07-13,2026-07-27
H00071,100000004698193100,100000001893287100,100000004698193100,3,18000.00000000,152700.00000000,0.00000000,2026-07-11,2026-07-18
H00072,100000008169544100,100000003016635100,100000006518161100,3,17300.00000000,521200.00000000,2.00000000,2026-07-11,2026-07-22
H00073,100000000274067100,100000002958343100,100000002872399100,2,2900000.00000000,1090000.00000000,1.50000000,2026-07-01,2026-07-07
H00074,100000003835149100,100000001965374100,100000004399686100,2,1699720.00000000,806000.00000000,0.50000000,2026-07-08,2026-07-09
H00075,100000008748914100,100000003684369100,100000001072022100,2,1582700.00000000,740000.00000000,2.00000000,2026-07-23,2026-07-25
H00076,100000002963189100,100000005933757100,100000001073568100,2,1150000.00000000,707465.00000000,1.00000000,2026-07-16,2026-07-18
H00077,100000008571433100,100000004135268100,100000004979498100,2,1064000.00000000,700000.00000000,0.00000000,2026-07-10,2026-07-11
H00078,100000005171642100,100000004221668100,100000005171642100,2,683600.00000000,690600.00000000,0.50000000,2026-07-08,2026-07-22
H00079,100000008748914100,100000003684369100,100000001527186100,2,1582700.00000000,678000.00000000,1.00000000,2026-07-23,2026-07-24
H00080,100000004351795100,100000000437046100,100000007055802100,2,542000.00000000,1015000.00000000,0.00000000,2026-07-18,2026-07-19
H00081,100000004351795100,100000000437046100,100000008730371100,2,542000.00000000,500000.00000000,0.50000000,2026-07-18,2026-07-20
H00082,100000002963189100,100000005933757100,100000002963189100,2,1150000.00000000,490000.00000000,2.00000000,2026-07-16,2026-07-18
H00083,100000008637537100,100000001732159100,100000003404627100,2,2283100.00000000,465000.00000000,0.00000000,2026-07-13,2026-07-13
H00084,100000008304139100,100000003684369100,100000001072022100,2,454000.00000000,740000.00000000,2.00000000,2026-07-23,2026-07-25
H00085,100000008304139100,100000003684369100,100000001527186100,2,454000.00000000,678000.00000000,1.00000000,2026-07-23,2026-07-24
H00086,100000000331309100,100000006889963100,100000006755850100,2,600000.00000000,443475.80000000,0.00000000,2026-07-21,2026-07-21
H00087,100000003880331100,100000003684369100,100000001527186100,2,402000.00000000,678000.00000000,2.00000000,2026-07-22,2026-07-24
H00088,100000002963189100,100000005933757100,100000002633108100,2,1150000.00000000,320000.00000000,0.00000000,2026-07-08,2026-07-16
H00089,100000003880331100,100000000331309100,100000001330685100,2,320000.00000000,2071530.00000000,0.00000000,2026-07-14,2026-07-14
H00090,100000003684369100,100000006889963100,100000006755850100,2,311000.00000000,443475.80000000,0.50000000,2026-07-20,2026-07-21
H00091,100000008304139100,100000003684369100,100000006889963100,2,454000.00000000,311000.00000000,1.00000000,2026-07-19,2026-07-21
H00092,100000005287097100,100000003016635100,100000003042994100,2,392500.00000000,286086.00000000,2.00000000,2026-07-08,2026-07-23
H00093,100000005910114100,100000006866783100,100000004299488100,2,241712.00000000,337000.00000000,0.50000000,2026-07-08,2026-07-11
H00094,100000005287097100,100000003016635100,100000004664905100,2,392500.00000000,234620.00000000,1.50000000,2026-07-11,2026-07-21
H00095,100000003796063100,100000000331309100,100000001330685100,2,233200.00000000,2071530.00000000,1.00000000,2026-07-12,2026-07-14
H00096,100000003796063100,100000000331309100,100000007055802100,2,233200.00000000,450000.00000000,0.00000000,2026-07-12,2026-07-14
H00097,100000004358004100,100000003684369100,100000001072022100,2,233000.00000000,740000.00000000,1.00000000,2026-07-24,2026-07-25
H00098,100000004358004100,100000003684369100,100000001527186100,2,233000.00000000,678000.00000000,1.00000000,2026-07-22,2026-07-24
H00099,100000002267998100,100000003701161100,100000002267998100,2,850000.00000000,220000.00000000,1.00000000,2026-07-11,2026-07-19
H00100,100000008293431100,100000000437046100,100000003834495100,2,215000.00000000,327441.00000000,2.00000000,2026-07-16,2026-07-30
H00101,100000003528285100,100000003684369100,100000001527186100,2,203000.00000000,678000.00000000,1.50000000,2026-07-22,2026-07-24
H00102,100000005910114100,100000006866783100,100000007055802100,2,241712.00000000,200000.00000000,2.00000000,2026-07-11,2026-07-16
H00103,100000005910114100,100000004486525100,100000002398779100,2,195047.00000000,254955.00000000,2.00000000,2026-07-04,2026-07-06
H00104,100000008477350100,100000004299488100,100000007055802100,2,192000.00000000,204999.00000000,0.00000000,2026-07-08,2026-07-08
H00105,100000008710791100,100000008561016100,100000001724740100,2,180000.00000000,185000.00000000,0.00000000,2026-07-25,2026-07-26
H00106,100000005287097100,100000003016635100,100000004588479100,2,392500.00000000,177633.00000000,2.00000000,2026-07-05,2026-07-13
H00107,100000008304139100,100000008603629100,100000001857829100,2,159000.00000000,408000.00000000,0.50000000,2026-07-23,2026-07-30
H00108,100000005287097100,100000003016635100,100000007281639100,2,392500.00000000,147000.00000000,2.00000000,2026-07-04,2026-07-23
H00109,100000008213966100,100000000838385100,100000008213966100,2,436900.00000000,145000.00000000,0.50000000,2026-07-03,2026-07-25
H00110,100000008304139100,100000006866783100,100000004299488100,2,144000.00000000,337000.00000000,0.50000000,2026-07-08,2026-07-12
H00111,100000008304139100,100000006866783100,100000007055802100,2,144000.00000000,200000.00000000,1.50000000,2026-07-12,2026-07-16
H00112,100000004017410100,100000005519998100,100000004017410100,2,142000.00000000,141000.00000000,1.00000000,2026-07-18,2026-07-20
H00113,100000005910114100,100000008603629100,100000008739887100,2,232624.00000000,141000.00000000,1.50000000,2026-07-19,2026-07-22
H00114,100000005287097100,100000003016635100,100000008169544100,2,392500.00000000,137104.00000000,1.00000000,2026-07-18,2026-07-19
H00115,100000008304139100,100000006866783100,100000005584222100,2,144000.00000000,136217.00000000,1.50000000,2026-07-14,2026-07-16
H00116,100000005910114100,100000008603629100,100000007442518100,2,232624.00000000,134000.00000000,1.00000000,2026-07-18,2026-07-19
H00117,100000000437046100,100000005610717100,100000008469048100,2,128200.00000000,265200.00000000,0.00000000,2026-07-15,2026-07-23
H00118,100000000661912100,100000003131016100,100000000661912100,2,405700.00000000,126000.00000000,1.00000000,2026-07-04,2026-07-10
H00119,100000003131016100,100000000661912100,100000003131016100,2,126000.00000000,405700.00000000,1.50000000,2026-07-03,2026-07-12
H00120,100000003718221100,100000003701161100,100000002267998100,2,120000.00000000,220000.00000000,1.00000000,2026-07-19,2026-07-23
H00121,100000004400305100,100000007055802100,100000004299488100,2,115000.00000000,605000.00000000,0.50000000,2026-07-08,2026-07-19
H00122,100000008258083100,100000000673868100,100000007442518100,2,2030650.00000000,115000.00000000,1.00000000,2026-07-07,2026-07-09
H00123,100000004160650100,100000004007116100,100000004144536100,2,535744.00000000,113000.00000000,1.50000000,2026-07-14,2026-07-23
H00124,100000005287097100,100000003016635100,100000005287097100,2,392500.00000000,110723.00000000,1.00000000,2026-07-11,2026-07-14
H00125,100000000331309100,100000008324800100,100000007390016100,2,110000.00000000,511000.00000000,1.00000000,2026-07-03,2026-07-07
H00126,100000004077081100,100000003684369100,100000001072022100,2,110000.00000000,740000.00000000,1.50000000,2026-07-23,2026-07-25
H00127,100000004077081100,100000003684369100,100000001527186100,2,110000.00000000,678000.00000000,0.50000000,2026-07-23,2026-07-24
H00128,100000005287097100,100000003016635100,100000001851289100,2,392500.00000000,109510.00000000,0.00000000,2026-07-18,2026-07-18
H00129,100000008603629100,100000000661912100,100000003131016100,2,101224.00000000,405700.00000000,0.50000000,2026-07-20,2026-07-29
H00130,100000004209339100,100000003635170100,100000003321423100,2,232500.00000000,100000.00000000,0.00000000,2026-07-15,2026-07-30
H00131,100000004390333100,100000000437046100,100000003795588100,2,100000.00000000,400000.00000000,1.00000000,2026-07-16,2026-07-18
H00132,100000004390333100,100000000437046100,100000007055802100,2,100000.00000000,1015000.00000000,1.00000000,2026-07-16,2026-07-18
H00133,100000004390333100,100000000437046100,100000008730371100,2,100000.00000000,500000.00000000,2.00000000,2026-07-16,2026-07-20
H00134,100000004390333100,100000003684369100,100000003115284100,2,100000.00000000,193000.00000000,2.00000000,2026-07-17,2026-07-19
H00135,100000007639767100,100000008603629100,100000000661912100,2,98250.00000000,101224.00000000,1.00000000,2026-07-18,2026-07-28
H00136,100000007639767100,100000008603629100,100000008279405100,2,98250.00000000,234738.00000000,2.00000000,2026-07-18,2026-07-30
H00137,100000005910114100,100000007629096100,100000002741024100,2,97170.00000000,765205.00000000,0.50000000,2026-07-02,2026-07-14
H00138,100000008304139100,100000006866783100,100000003102157100,2,144000.00000000,96746.00000000,1.00000000,2026-07-12,2026-07-13
H00139,100000005910114100,100000006866783100,100000000555721100,2,241712.00000000,95000.00000000,1.00000000,2026-07-04,2026-07-16
H00140,100000008304139100,100000006866783100,100000000555721100,2,144000.00000000,95000.00000000,1.00000000,2026-07-04,2026-07-16
H00141,100000004070318100,100000006866783100,100000003102157100,2,85000.00000000,96746.00000000,2.00000000,2026-07-11,2026-07-13
H00142,100000005287097100,100000003016635100,100000004408683100,2,392500.00000000,81148.00000000,2.00000000,2026-07-07,2026-07-14
H00143,100000008193577100,100000008736940100,100000008659445100,2,125990.00000000,77300.00000000,1.00000000,2026-07-22,2026-07-26
H00144,100000008736940100,100000008659445100,100000008736940100,2,77300.00000000,252500.00000000,1.50000000,2026-07-22,2026-07-28
H00145,100000008736940100,100000008659445100,100000008751429100,2,77300.00000000,271700.00000000,1.00000000,2026-07-22,2026-07-27
H00146,100000005910114100,100000006866783100,100000000011452100,2,241712.00000000,75000.00000000,1.00000000,2026-07-04,2026-07-09
H00147,100000008304139100,100000003684369100,100000008671929100,2,454000.00000000,75000.00000000,0.50000000,2026-07-19,2026-07-21
H00148,100000008304139100,100000006866783100,100000000011452100,2,144000.00000000,75000.00000000,1.00000000,2026-07-04,2026-07-09
H00149,100000001073568100,100000004500444100,100000004500781100,2,80000.00000000,74000.00000000,0.00000000,2026-07-13,2026-07-13
H00150,100000008659445100,100000008751429100,100000008736940100,2,271700.00000000,72600.00000000,1.00000000,2026-07-25,2026-07-28
H00151,100000001616816100,100000004015047100,100000001616816100,2,110500.00000000,69195.00000000,0.00000000,2026-07-02,2026-07-03
H00152,100000003796063100,100000006866783100,100000007055802100,2,67500.00000000,200000.00000000,1.50000000,2026-07-12,2026-07-16
H00153,100000003796063100,100000006866783100,100000008686313100,2,67500.00000000,225181.00000000,0.50000000,2026-07-12,2026-07-15
H00154,100000008632060100,100000000437046100,100000008686313100,2,67500.00000000,1104983.00000000,0.00000000,2026-07-21,2026-07-22
H00155,100000008659445100,100000008736940100,100000008193577100,2,252500.00000000,67300.00000000,0.00000000,2026-07-23,2026-07-23
H00156,100000008736940100,100000008193577100,100000008736940100,2,67300.00000000,125990.00000000,1.50000000,2026-07-23,2026-07-25
H00157,100000005910114100,100000006866783100,100000004071080100,2,241712.00000000,67000.00000000,1.00000000,2026-07-04,2026-07-09
H00158,100000008304139100,100000006866783100,100000004071080100,2,144000.00000000,67000.00000000,1.00000000,2026-07-04,2026-07-09
H00159,100000004077081100,100000002398779100,100000008576243100,2,195000.00000000,66000.00000000,0.00000000,2026-07-09,2026-07-10
H00160,100000004351795100,100000002398779100,100000008576243100,2,87100.00000000,66000.00000000,0.50000000,2026-07-09,2026-07-10
H00161,100000005634552100,100000002398779100,100000008576243100,2,247000.00000000,66000.00000000,0.50000000,2026-07-09,2026-07-10
H00162,100000005048668100,100000008603629100,100000005830339100,2,65000.00000000,144605.00000000,1.00000000,2026-07-16,2026-07-25
H00163,100000006866783100,100000004070318100,100000006866783100,2,64725.00000000,85000.00000000,1.00000000,2026-07-09,2026-07-11
H00164,100000003988112100,100000004403675100,100000003988112100,2,64000.00000000,92000.00000000,0.50000000,2026-07-18,2026-07-19
H00165,100000004403675100,100000003988112100,100000004403675100,2,92000.00000000,64000.00000000,0.00000000,2026-07-19,2026-07-19
H00166,100000008086440100,100000008603629100,100000005830339100,2,63900.00000000,144605.00000000,1.50000000,2026-07-16,2026-07-25
H00167,100000006866783100,100000004070318100,100000003747133100,2,64725.00000000,62964.00000000,1.50000000,2026-07-09,2026-07-11
H00168,100000006866783100,100000004070318100,100000002398779100,2,64725.00000000,61568.00000000,0.00000000,2026-07-09,2026-07-09
H00169,100000006866783100,100000004070318100,100000008346837100,2,64725.00000000,60059.00000000,1.00000000,2026-07-09,2026-07-10
H00170,100000003016635100,100000005287097100,100000004150593100,2,110723.00000000,57000.00000000,0.00000000,2026-07-11,2026-07-11
H00171,100000005287097100,100000004150593100,100000003899899100,2,57000.00000000,213500.00000000,0.00000000,2026-07-11,2026-07-11
H00172,100000005287097100,100000004150593100,100000005022552100,2,57000.00000000,241000.00000000,0.50000000,2026-07-11,2026-07-12
H00173,100000008659445100,100000008193577100,100000008659445100,2,87000.00000000,56190.00000000,1.00000000,2026-07-18,2026-07-20
H00174,100000004847758100,100000003684369100,100000003115284100,2,56000.00000000,193000.00000000,1.00000000,2026-07-17,2026-07-19
H00175,100000004847758100,100000003684369100,100000006889963100,2,56000.00000000,311000.00000000,1.00000000,2026-07-19,2026-07-21
H00176,100000004847758100,100000003684369100,100000008671929100,2,56000.00000000,75000.00000000,2.00000000,2026-07-17,2026-07-21
H00177,100000000437046100,100000008686313100,100000008603629100,2,1104983.00000000,55500.00000000,1.50000000,2026-07-24,2026-07-28
H00178,100000008686313100,100000008603629100,100000003366471100,2,55500.00000000,193524.00000000,0.50000000,2026-07-25,2026-07-28
H00179,100000002645993100,100000002398779100,100000008576243100,2,54150.00000000,66000.00000000,1.50000000,2026-07-07,2026-07-09
H00180,100000003880331100,100000008603629100,100000004336228100,2,598000.00000000,51407.00000000,0.00000000,2026-07-27,2026-07-27
H00181,100000004140487100,100000003684369100,100000001072022100,2,50000.00000000,740000.00000000,2.00000000,2026-07-23,2026-07-25
H00182,100000004140487100,100000003684369100,100000001527186100,2,50000.00000000,678000.00000000,1.00000000,2026-07-23,2026-07-24
H00183,100000006866783100,100000008686313100,100000006866783100,2,225181.00000000,48100.00000000,2.00000000,2026-07-09,2026-07-14
H00184,100000008686313100,100000006866783100,100000007055802100,2,48100.00000000,200000.00000000,2.00000000,2026-07-11,2026-07-16
H00185,100000008686313100,100000006866783100,100000008686313100,2,48100.00000000,225181.00000000,0.50000000,2026-07-11,2026-07-15
H00186,100000005910114100,100000002957787100,100000001160401100,2,45856.00000000,47190.00000000,1.00000000,2026-07-03,2026-07-06
H00187,100000001697501100,100000002733905100,100000005342513100,2,45000.00000000,235000.00000000,0.00000000,2026-07-08,2026-07-10
H00188,100000003265158100,100000007242833100,100000003781406100,2,107500.00000000,45000.00000000,1.00000000,2026-07-11,2026-07-12
H00189,100000005910114100,100000006866783100,100000008560717100,2,241712.00000000,45000.00000000,1.50000000,2026-07-04,2026-07-16
H00190,100000008304139100,100000006866783100,100000008560717100,2,144000.00000000,45000.00000000,1.50000000,2026-07-04,2026-07-16
H00191,100000005041905100,100000002578405100,100000008687617100,2,1080351.00000000,43350.00000000,1.00000000,2026-07-08,2026-07-15
H00192,100000008636603100,100000003016635100,100000000440392100,2,43200.00000000,105705.00000000,1.50000000,2026-07-04,2026-07-07
H00193,100000008636603100,100000003016635100,100000000667713100,2,43200.00000000,106745.00000000,1.50000000,2026-07-04,2026-07-07
H00194,100000008636603100,100000003016635100,100000004790991100,2,43200.00000000,239413.00000000,0.50000000,2026-07-04,2026-07-06
H00195,100000008636603100,100000003016635100,100000004948177100,2,43200.00000000,341163.00000000,0.00000000,2026-07-04,2026-07-05
H00196,100000008636603100,100000003016635100,100000006518161100,2,43200.00000000,521200.00000000,2.00000000,2026-07-04,2026-07-07
H00197,100000004847758100,100000008603629100,100000008739887100,2,42000.00000000,141000.00000000,1.50000000,2026-07-19,2026-07-22
H00198,100000002731501100,100000004160650100,100000002731501100,2,40000.00000000,550370.00000000,0.50000000,2026-07-28,2026-07-30
H00199,100000002731501100,100000004160650100,100000004007116100,2,40000.00000000,535744.00000000,0.50000000,2026-07-28,2026-07-30
H00200,100000003004487100,100000002175422100,100000003557488100,2,40000.00000000,664992.00000000,1.00000000,2026-07-16,2026-07-20
H00201,100000004160650100,100000002731501100,100000004160650100,2,550370.00000000,40000.00000000,1.00000000,2026-07-27,2026-07-30
H00202,100000008632060100,100000004400305100,100000002435265100,2,40000.00000000,132628.00000000,0.50000000,2026-07-05,2026-07-21
H00203,100000005287097100,100000003016635100,100000002580377100,2,392500.00000000,37750.00000000,2.00000000,2026-07-12,2026-07-20
H00204,100000008659445100,100000008736940100,100000008751429100,2,252500.00000000,37500.00000000,0.00000000,2026-07-23,2026-07-23
H00205,100000006385877100,100000006443391100,100000006385877100,2,36602.93000000,53706.62000000,0.00000000,2026-07-15,2026-07-30
H00206,100000006443391100,100000006385877100,100000006443391100,2,53706.62000000,36602.93000000,0.00000000,2026-07-15,2026-07-30
H00207,100000005287097100,100000003016635100,100000008486520100,2,392500.00000000,35720.00000000,0.00000000,2026-07-18,2026-07-18
H00208,100000003616818100,100000004160650100,100000002731501100,2,35100.00000000,550370.00000000,1.00000000,2026-07-23,2026-07-27
H00209,100000003616818100,100000004160650100,100000004007116100,2,35100.00000000,535744.00000000,1.00000000,2026-07-23,2026-07-27
H00210,100000005910114100,100000006866783100,100000004737477100,2,241712.00000000,30127.00000000,1.00000000,2026-07-04,2026-07-05
H00211,100000002391278100,100000004221668100,100000002391278100,2,52700.00000000,30000.00000000,1.50000000,2026-07-16,2026-07-20
H00212,100000004140487100,100000004400305100,100000008686313100,2,30000.00000000,82417.00000000,0.50000000,2026-07-23,2026-07-24
H00213,100000004221668100,100000002391278100,100000004221668100,2,30000.00000000,52700.00000000,1.00000000,2026-07-15,2026-07-19
H00214,100000005287097100,100000000607941100,100000003406094100,2,30000.00000000,70000.00000000,0.50000000,2026-07-27,2026-07-28
H00215,100000008413748100,100000004070318100,100000004486525100,2,29521.55000000,46877.00000000,0.50000000,2026-07-02,2026-07-03
H00216,100000005910114100,100000006866783100,100000000961900100,2,241712.00000000,27000.00000000,0.50000000,2026-07-08,2026-07-14
H00217,100000008304139100,100000006866783100,100000000961900100,2,144000.00000000,27000.00000000,1.50000000,2026-07-08,2026-07-14
H00218,100000001660397100,100000006866783100,100000000961900100,2,24000.00000000,27000.00000000,1.50000000,2026-07-08,2026-07-14
H00219,100000001660397100,100000006866783100,100000004299488100,2,24000.00000000,337000.00000000,0.50000000,2026-07-08,2026-07-12
H00220,100000001660397100,100000006866783100,100000008686313100,2,24000.00000000,225181.00000000,0.50000000,2026-07-08,2026-07-12
H00221,100000005268319100,100000002957787100,100000001160401100,2,24000.00000000,47190.00000000,1.50000000,2026-07-02,2026-07-06
H00222,100000008258083100,100000000673868100,100000003173783100,2,2030650.00000000,23500.00000000,1.50000000,2026-07-07,2026-07-14
H00223,100000002293421100,100000004180097100,100000002293421100,2,22000.00000000,36000.00000000,0.00000000,2026-07-18,2026-07-31
H00224,100000004180097100,100000002293421100,100000004180097100,2,36000.00000000,22000.00000000,0.50000000,2026-07-17,2026-07-31
H00225,100000001049200100,100000004156082100,100000001184915100,2,21000.00000000,201000.00000000,1.00000000,2026-07-28,2026-07-30
H00226,100000007593823100,100000002398779100,100000008576243100,2,21000.00000000,66000.00000000,0.50000000,2026-07-08,2026-07-09
H00227,100000003557488100,100000002175422100,100000003557488100,2,20000.00000000,664992.00000000,0.50000000,2026-07-16,2026-07-24
